桜,サクラ,桜,名詞-一般
の,ノ,の,助詞-連体化
花,ハナ,花,名詞-一般
が,ガ,が,助詞-格助詞-一般
咲く,サク,咲く,動詞-自立,五段・カ行イ音便,基本形
と,ト,と,助詞-接続助詞
人々,ヒトビト,人々,名詞-一般
は,ハ,は,助詞-係助詞
酒,サケ,酒,名詞-一般
を,ヲ,を,助詞-格助詞-一般
ぶらさげ,ブラサゲ,ぶらさげる,動詞-自立,一段,連用形
たり,タリ,たり,助詞-並立助詞
団子,ダンゴ,団子,名詞-一般
《,《,《,記号-括弧開
だ,ダ,だ,助動詞,特殊・ダ,基本形
ん,ン,ん,名詞-非自立-一般
ご,ゴ,ご,接頭詞-名詞接続
》,》,》,記号-括弧閉
を,ヲ,を,助詞-格助詞-一般
たべ,タベ,たべる,動詞-自立,一段,連用形
て,テ,て,助詞-接続助詞
花,ハナ,花,名詞-一般
の,ノ,の,助詞-連体化
下,シタ,下,名詞-一般
を,ヲ,を,助詞-格助詞-一般
歩い,アルイ,歩く,動詞-自立,五段・カ行イ音便,連用タ接続
て,テ,て,助詞-接続助詞
絶景,ゼッケイ,絶景,名詞-一般
だの,ダノ,だの,助詞-並立助詞
春,ハル,春,名詞-一般
ランマン,ランマン,ランマン,名詞-一般
だ,ダ,だ,助動詞,特殊・ダ,基本形
の,ノ,の,名詞-非自立-一般
と,ト,と,助詞-格助詞-引用
浮かれ,ウカレ,浮かれる,動詞-自立,一段,連用形
て,テ,て,助詞-接続助詞
陽気,ヨウキ,陽気,名詞-形容動詞語幹
に,ニ,に,助詞-格助詞-一般
なり,ナリ,なる,動詞-自立,五段・ラ行,連用形
ます,マス,ます,助動詞,特殊・マス,基本形
が,ガ,が,助詞-接続助詞
、,、,、,記号-読点
これ,コレ,これ,名詞-代名詞-一般
は,ハ,は,助詞-係助詞
嘘,ウソ,嘘,名詞-一般
です,デス,です,助動詞,特殊・デス,基本形
。,。,。,記号-句点
なぜ,ナゼ,なぜ,副詞-助詞類接続
嘘,ウソ,嘘,名詞-一般
か,カ,か,助詞-副助詞／並立助詞／終助詞
と,ト,と,助詞-格助詞-引用
申し,モウシ,申す,動詞-自立,五段・サ行,連用形
ます,マス,ます,助動詞,特殊・マス,基本形
と,ト,と,助詞-接続助詞
、,、,、,記号-読点
桜,サクラ,桜,名詞-一般
の,ノ,の,助詞-連体化
花,ハナ,花,名詞-一般
の,ノ,の,助詞-連体化
下,シタ,下,名詞-一般
へ,ヘ,へ,助詞-格助詞-一般
人,ヒト,人,名詞-一般
が,ガ,が,助詞-格助詞-一般
より,ヨリ,より,副詞-一般
集っ,ツドッ,集う,動詞-自立,五段・ワ行促音便,連用タ接続
て,テ,て,助詞-接続助詞
酔っ払っ,ヨッパラッ,酔っ払う,動詞-自立,五段・ワ行促音便,連用タ接続
て,テ,て,助詞-接続助詞
ゲロ,ゲロ,ゲロ,名詞-一般
を,ヲ,を,助詞-格助詞-一般
吐い,ハイ,吐く,動詞-自立,五段・カ行イ音便,連用タ接続
て,テ,て,助詞-接続助詞
喧嘩,ケンカ,喧嘩,名詞-サ変接続
《,《,《,記号-括弧開
けんか,ケンカ,けんか,名詞-一般
》,》,》,記号-括弧閉
し,シ,する,動詞-自立,サ変・スル,連用形
て,テ,て,助詞-接続助詞
、,、,、,記号-読点
これ,コレ,これ,名詞-代名詞-一般
は,ハ,は,助詞-係助詞
江戸,エド,江戸,名詞-固有名詞-地域-一般
時代,ジダイ,時代,名詞-一般
から,カラ,から,助詞-格助詞-一般
の,ノ,の,助詞-連体化
話,ハナシ,話,名詞-サ変接続
で,デ,で,助詞-格助詞-一般
、,、,、,記号-読点
大昔,オオムカシ,大昔,名詞-副詞可能
は,ハ,は,助詞-係助詞
桜,サクラ,桜,名詞-一般
の,ノ,の,助詞-連体化
花,ハナ,花,名詞-一般
の,ノ,の,助詞-連体化
下,シタ,下,名詞-一般
は,ハ,は,助詞-係助詞
怖し,コワシ,怖い,形容詞-自立,形容詞・アウオ段,文語基本形
いと,イト,いと,副詞-一般
思っ,オモッ,思う,動詞-自立,五段・ワ行促音便,連用タ接続
て,テ,て,助詞-接続助詞
も,モ,も,助詞-係助詞
、,、,、,記号-読点
絶景,ゼッケイ,絶景,名詞-一般
だ,ダ,だ,助動詞,特殊・ダ,基本形
など,ナド,など,助詞-副助詞
と,ト,と,助詞-格助詞-引用
は,ハ,は,助詞-係助詞
誰,ダレ,誰,名詞-代名詞-一般
も,モ,も,助詞-係助詞
思い,オモイ,思う,動詞-自立,五段・ワ行促音便,連用形
ませ,マセ,ます,助動詞,特殊・マス,未然形
ん,ン,ん,助動詞,不変化型,基本形
でし,デシ,です,助動詞,特殊・デス,連用形
た,タ,た,助動詞,特殊・タ,基本形
。,。,。,記号-句点
近頃,チカゴロ,近頃,名詞-一般
は,ハ,は,助詞-係助詞
桜,サクラ,桜,名詞-一般
の,ノ,の,助詞-連体化
花,ハナ,花,名詞-一般
の,ノ,の,助詞-連体化
下,モト,下,名詞-非自立-一般
と,ト,と,助詞-格助詞-引用
いえ,イエ,いう,動詞-自立,五段・ワ行促音便,仮定形
ば,バ,ば,助詞-接続助詞
人間,ニンゲン,人間,名詞-一般
が,ガ,が,助詞-格助詞-一般
より,ヨリ,より,副詞-一般
